"","naics","high","uppermiddle","lowermiddle","low"
"225","485300",0.023,0.037,0.936,0
"226","485400",0.018,0.117,0.857,0.008
"227","485500",0.025,0.075,0.887,0.006
"228","485900",0.032,0.055,0.902,0.009
"229","486000",0.209,0.294,0.498,0
"230","486100",0.306,0.296,0.407,0
"231","486200",0.19,0.314,0.507,0
"232","486900",0.167,0.222,0.597,0
"233","487-80",0.065,0.159,0.746,0.03
"234","487000",0.046,0.075,0.644,0.229
"235","487100",0.039,0.087,0.598,0.268
"236","487200",0.047,0.053,0.68,0.227
"237","487900",0.069,0.138,0.586,0.103
"238","488000",0.066,0.163,0.751,0.02
"239","488100",0.062,0.343,0.53,0.065
"240","488200",0.046,0.301,0.649,0
"241","488300",0.033,0.108,0.84,0.004
"242","488400",0.035,0.082,0.88,0
"243","488500",0.106,0.059,0.836,0
"244","488900",0.054,0.05,0.886,0
"245","492000",0.026,0.035,0.939,0
"246","492100",0.024,0.038,0.937,0
"247","492200",0.038,0.01,0.948,0
"248","493000",0.043,0.061,0.894,0.001
"249","510000",0.276,0.342,0.345,0.038
"250","511000",0.352,0.26,0.388,0
"251","511100",0.121,0.337,0.541,0.001
"252","511110",0.075,0.328,0.597,0
"253","511200",0.657,0.157,0.186,0
"254","512000",0.056,0.462,0.178,0.271
"255","512100",0.051,0.46,0.205,0.285
"256","512130",0.033,0.017,0.199,0.751
"257","512200",0.143,0.513,0.349,0
"258","515000",0.126,0.565,0.303,0
"259","515100",0.121,0.592,0.281,0.002
"260","515110",0.092,0.54,0.361,0
"261","515120",0.141,0.629,0.225,0.004
"262","515200",0.146,0.469,0.382,0
"263","517000",0.242,0.375,0.382,0.001
"264","517100",0.229,0.44,0.329,0.001
"265","517200",0.252,0.206,0.54,0
"266","5174-9",0.307,0.23,0.462,0
"267","517400",0.278,0.381,0.33,0
"268","517900",0.309,0.214,0.477,0
"269","518000",0.503,0.11,0.387,0
"270","519000",0.439,0.275,0.284,0.002
"271","520000",0.161,0.249,0.59,0
"272","521-20",0.132,0.221,0.087,0
"273","521000",0.353,0.446,0.011,0
"274","522000",0.131,0.219,0.65,0
"275","522100",0.129,0.19,0.681,0
"276","522200",0.131,0.298,0.57,0
"277","522290",0.113,0.312,0.573,0
"278","522300",0.142,0.231,0.627,0
"279","523000",0.171,0.348,0.481,0
"280","523100",0.161,0.269,0.569,0
"281","523200",0.257,0.286,0.157,0
"282","523900",0.179,0.428,0.391,0
"283","524000",0.188,0.243,0.569,0
"284","524100",0.248,0.3,0.452,0.001
"285","524114",0.299,0.234,0.467,0
"286","524120",0.193,0.362,0.444,0.001
"287","524200",0.102,0.161,0.737,0
"288","524210",0.068,0.087,0.845,0
"289","524290",0.182,0.34,0.476,0
"290","525000",0.243,0.27,0.108,0
"291","525100",0,0,0.462,0
"292","525900",0.04,0,0.16,0
"293","530000",0.123,0.264,0.593,0.021
"294","531000",0.139,0.291,0.543,0.027
"295","531100",0.129,0.327,0.5,0.044
"296","531200",0.086,0.132,0.777,0.004
"297","531300",0.174,0.332,0.473,0.021
"298","532000",0.069,0.187,0.738,0.004
"299","532100",0.05,0.155,0.793,0
