YEAR,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-0000,Business and Financial Operations Occupations,major,"63,530",2.7,56.056,1.08,34.63,"72,040",1.8,18.30,23.97,31.25,41.35,53.97,"38,050","49,860","65,000","86,000","112,270",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,60,28.6,0.055,0.58,25.34,"52,710",17.6,9.49,13.71,26.62,34.86,38.03,"19,730","28,520","55,370","72,500","79,110",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-1021,"Buyers and Purchasing Agents, Farm Products",detailed,70,22.3,0.064,0.78,27.86,"57,950",3.0,20.02,24.32,27.73,31.61,36.89,"41,630","50,590","57,680","65,740","76,740",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-1022,"Wholesale and Retail Buyers, Except Farm Products",detailed,"1,830",16.8,1.612,2.07,26.00,"54,080",3.6,14.76,17.64,23.89,31.62,41.80,"30,700","36,690","49,680","65,770","86,940",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"2,510",6.1,2.219,1.05,30.61,"63,680",1.1,20.06,24.09,29.46,36.59,43.79,"41,710","50,110","61,280","76,100","91,080",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"2,330",16.5,2.056,1.05,34.77,"72,330",4.5,21.14,26.70,34.07,41.77,50.36,"43,970","55,530","70,870","86,870","104,740",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-1032,"Insurance Appraisers, Auto Damage",detailed,70,20.3,0.062,0.57,35.64,"74,120",1.8,27.80,31.63,35.50,39.36,45.22,"57,820","65,790","73,850","81,860","94,070",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-1041,Compliance Officers,detailed,"1,600",8.0,1.412,0.72,34.05,"70,830",1.9,20.59,25.65,32.64,40.83,48.66,"42,830","53,340","67,900","84,930","101,220",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-1051,Cost Estimators,detailed,"1,930",7.4,1.704,1.11,32.45,"67,490",2.4,17.07,24.29,31.64,39.13,48.29,"35,500","50,510","65,800","81,400","100,440",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-1071,Human Resources Specialists,detailed,"4,650",5.1,4.104,1.10,30.09,"62,580",1.6,18.25,22.32,27.84,36.16,45.92,"37,960","46,430","57,900","75,220","95,520",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-1075,Labor Relations Specialists,detailed,"1,000",8.8,0.878,1.55,36.89,"76,740",11.5,9.59,27.49,36.63,48.39,58.68,"19,950","57,180","76,190","100,660","122,060",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-1081,Logisticians,detailed,**,**,**,**,35.27,"73,370",4.9,21.23,25.63,33.38,40.65,51.98,"44,160","53,300","69,440","84,550","108,110",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-1111,Management Analysts,detailed,"4,190",8.3,3.701,0.81,42.54,"88,470",2.4,25.07,31.17,39.11,49.79,68.66,"52,140","64,830","81,350","103,560","142,810",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-1121,"Meeting, Convention, and Event Planners",detailed,"1,070",14.7,0.944,1.38,24.00,"49,920",4.1,15.97,18.26,22.63,28.14,34.79,"33,220","37,980","47,070","58,530","72,350",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-1131,Fundraisers,detailed,680,13.8,0.599,1.22,24.52,"50,990",3.5,15.61,18.13,22.91,30.44,36.91,"32,480","37,710","47,650","63,320","76,780",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,720,19.7,0.633,1.12,32.21,"66,990",3.2,20.70,23.89,29.78,39.18,48.08,"43,050","49,690","61,940","81,500","100,000",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-1151,Training and Development Specialists,detailed,"2,050",5.7,1.812,0.94,30.54,"63,530",2.1,16.90,21.78,29.27,37.74,47.13,"35,150","45,310","60,870","78,490","98,040",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-1161,Market Research Analysts and Marketing Specialists,detailed,"4,890",7.5,4.312,1.08,33.55,"69,790",3.7,16.84,22.38,29.99,40.86,51.95,"35,030","46,560","62,370","84,980","108,060",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-1199,"Business Operations Specialists, All Other",detailed,"11,370",4.6,10.036,1.47,35.13,"73,060",4.6,16.76,23.17,31.20,42.84,57.88,"34,860","48,200","64,890","89,110","120,390",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-2011,Accountants and Auditors,detailed,"9,510",6.3,8.394,0.95,33.08,"68,800",1.5,20.71,24.95,30.39,38.78,48.23,"43,090","51,890","63,220","80,670","100,310",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-2021,Appraisers and Assessors of Real Estate,detailed,410,38.5,0.363,0.84,29.34,"61,020",12.8,13.00,21.60,29.56,35.98,41.28,"27,050","44,920","61,490","74,840","85,860",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-2031,Budget Analysts,detailed,350,7.4,0.308,0.79,35.24,"73,310",1.2,25.54,29.70,34.41,39.76,46.97,"53,120","61,770","71,580","82,700","97,700",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-2041,Credit Analysts,detailed,510,9.8,0.449,0.86,37.17,"77,320",2.8,22.45,27.79,35.18,44.28,54.55,"46,690","57,790","73,160","92,100","113,460",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-2051,Financial Analysts,detailed,"2,340",14.7,2.065,1.03,41.98,"87,320",4.4,24.37,30.61,37.95,47.93,63.00,"50,690","63,670","78,930","99,700","131,050",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-2052,Personal Financial Advisors,detailed,"1,580",13.0,1.398,0.97,57.05,"118,670",10.8,12.58,22.56,43.12,73.47,#,"26,170","46,920","89,680","152,820",#,,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-2053,Insurance Underwriters,detailed,650,15.7,0.574,0.88,33.70,"70,090",1.6,21.47,25.24,31.64,41.25,49.66,"44,670","52,500","65,800","85,790","103,290",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-2061,Financial Examiners,detailed,410,5.9,0.359,1.01,35.48,"73,800",4.7,20.14,23.12,32.84,43.56,58.75,"41,900","48,080","68,300","90,610","122,210",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-2071,Credit Counselors,detailed,300,21.3,0.262,1.08,26.10,"54,290",5.5,16.00,18.47,23.41,29.62,45.21,"33,290","38,420","48,700","61,600","94,030",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-2072,Loan Officers,detailed,"2,800",7.1,2.469,1.13,40.48,"84,190",4.1,17.42,25.91,36.85,49.15,64.22,"36,230","53,890","76,660","102,240","133,570",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,200,0.0,0.180,0.43,33.07,"68,790",1.5,21.30,25.73,30.03,40.84,48.70,"44,290","53,520","62,450","84,940","101,300",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-2082,Tax Preparers,detailed,910,29.6,0.806,1.62,26.32,"54,750",12.0,12.98,14.95,24.97,33.38,50.73,"27,000","31,090","51,940","69,440","105,510",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-2099,"Financial Specialists, All Other",detailed,"1,110",10.4,0.978,1.11,36.25,"75,400",2.8,20.31,26.78,34.38,43.96,53.43,"42,250","55,690","71,510","91,430","111,130",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",15-0000,Computer and Mathematical Occupations,major,"43,130",6.1,38.059,1.28,41.26,"85,810",2.7,21.04,28.54,39.66,51.03,62.85,"43,750","59,360","82,500","106,140","130,730",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",15-1111,Computer and Information Research Scientists,detailed,250,30.1,0.219,1.16,75.56,"157,160",5.4,49.85,57.55,70.20,83.91,#,"103,690","119,700","146,010","174,530",#,,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",15-1121,Computer Systems Analysts,detailed,"4,490",4.7,3.958,0.98,42.88,"89,190",1.8,26.90,33.78,41.98,50.31,60.55,"55,950","70,270","87,310","104,650","125,950",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",15-1122,Information Security Analysts,detailed,610,24.6,0.534,0.77,45.29,"94,210",6.9,22.40,35.33,44.78,53.23,70.58,"46,580","73,480","93,140","110,710","146,810",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",15-1131,Computer Programmers,detailed,"2,840",12.8,2.507,1.30,39.08,"81,290",3.4,25.17,30.15,39.40,46.73,55.07,"52,350","62,720","81,940","97,200","114,550",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",15-1132,"Software Developers, Applications",detailed,"11,520",15.1,10.168,1.80,49.53,"103,020",3.6,28.02,38.33,48.32,59.68,72.99,"58,290","79,720","100,510","124,130","151,810",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",15-1133,"Software Developers, Systems Software",detailed,"3,480",15.8,3.067,1.05,48.61,"101,110",2.2,31.94,38.18,48.02,59.03,69.96,"66,440","79,410","99,870","122,780","145,520",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",15-1134,Web Developers,detailed,"2,570",11.7,2.266,2.46,31.66,"65,850",3.6,18.53,22.55,29.86,40.66,48.31,"38,540","46,900","62,100","84,580","100,480",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",15-1141,Database Administrators,detailed,830,5.9,0.728,0.90,41.24,"85,780",2.2,24.55,31.49,40.68,51.12,60.42,"51,050","65,500","84,620","106,330","125,670",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",15-1142,Network and Computer Systems Administrators,detailed,"2,470",5.5,2.178,0.81,39.10,"81,320",1.8,25.09,30.65,37.30,46.07,54.89,"52,180","63,750","77,590","95,830","114,170",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",15-1143,Computer Network Architects,detailed,990,15.3,0.874,0.78,59.76,"124,290",6.1,37.60,44.80,55.47,69.55,85.83,"78,200","93,180","115,380","144,660","178,520",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",15-1151,Computer User Support Specialists,detailed,"6,060",7.0,5.348,1.25,25.50,"53,030",1.6,15.79,19.13,23.98,30.01,37.50,"32,840","39,780","49,870","62,430","78,000",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",15-1152,Computer Network Support Specialists,detailed,"1,370",7.6,1.205,0.90,29.48,"61,310",2.8,17.66,22.41,28.36,35.28,41.33,"36,740","46,610","58,990","73,380","85,960",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",15-1199,"Computer Occupations, All Other",detailed,"4,250",8.1,3.751,2.02,40.25,"83,710",2.7,20.61,28.46,39.25,48.94,60.06,"42,860","59,190","81,630","101,800","124,930",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",15-2011,Actuaries,detailed,**,**,**,**,47.23,"98,230",6.1,26.93,30.76,41.10,55.21,79.94,"56,010","63,980","85,480","114,840","166,270",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",15-2031,Operations Research Analysts,detailed,970,22.3,0.854,1.10,36.69,"76,310",2.2,24.84,28.65,35.20,43.08,50.74,"51,670","59,600","73,220","89,600","105,540",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",15-2041,Statisticians,detailed,300,9.3,0.261,1.09,37.32,"77,620",3.5,22.59,28.02,34.48,42.60,55.46,"46,990","58,290","71,720","88,600","115,350",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",15-2099,"Mathematical Science Occupations, All Other",detailed,50,33.6,0.046,3.19,34.44,"71,640",2.4,24.14,28.37,34.28,41.18,47.08,"50,200","59,000","71,300","85,650","97,930",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",17-0000,Architecture and Engineering Occupations,major,"35,940",19.0,31.713,1.78,43.06,"89,570",5.5,22.85,29.01,38.61,51.89,68.96,"47,530","60,330","80,300","107,930","143,430",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",17-1011,"Architects, Except Landscape and Naval",detailed,"1,360",10.3,1.203,1.69,36.35,"75,610",4.5,21.51,26.18,33.88,43.27,53.76,"44,730","54,450","70,460","89,990","111,820",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",17-1012,Landscape Architects,detailed,410,36.1,0.359,2.60,27.91,"58,060",6.8,20.16,21.96,25.38,31.60,40.74,"41,930","45,670","52,790","65,740","84,730",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",17-1021,Cartographers and Photogrammetrists,detailed,330,14.0,0.295,3.42,29.86,"62,100",4.3,19.53,23.78,28.64,35.87,43.42,"40,630","49,470","59,580","74,610","90,320",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",17-1022,Surveyors,detailed,380,10.3,0.336,1.09,34.27,"71,290",3.3,20.03,27.19,34.59,41.10,48.24,"41,670","56,560","71,950","85,490","100,350",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",17-2011,Aerospace Engineers,detailed,40,34.1,0.034,0.07,46.08,"95,850",3.4,31.87,39.38,45.58,52.57,62.67,"66,280","81,920","94,800","109,350","130,350",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",17-2031,Biomedical Engineers,detailed,300,25.9,0.263,1.79,43.80,"91,100",4.1,31.74,34.21,38.31,49.88,69.39,"66,010","71,160","79,680","103,760","144,340",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",17-2041,Chemical Engineers,detailed,120,14.7,0.105,0.46,45.70,"95,060",2.3,28.79,34.72,44.06,54.58,64.17,"59,890","72,210","91,630","113,530","133,470",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",17-2051,Civil Engineers,detailed,"3,210",9.6,2.829,1.38,40.57,"84,400",2.2,26.66,31.07,38.48,48.09,58.84,"55,460","64,620","80,040","100,020","122,390",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",17-2071,Electrical Engineers,detailed,"2,390",10.8,2.111,1.61,44.74,"93,070",3.5,29.22,34.62,42.36,51.40,62.06,"60,780","72,020","88,120","106,910","129,080",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",17-2072,"Electronics Engineers, Except Computer",detailed,"1,610",10.3,1.422,1.51,46.27,"96,240",3.0,27.66,33.96,43.36,56.75,72.31,"57,520","70,630","90,200","118,030","150,410",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",17-2081,Environmental Engineers,detailed,550,20.8,0.485,1.30,42.86,"89,160",4.1,28.10,33.38,41.40,50.37,61.24,"58,440","69,430","86,120","104,770","127,370",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,110,13.2,0.101,0.56,42.74,"88,890",5.8,24.20,30.67,39.86,48.37,62.68,"50,340","63,800","82,900","100,610","130,380",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",17-2112,Industrial Engineers,detailed,"3,530",23.6,3.115,1.70,49.59,"103,140",4.0,31.97,38.76,48.28,59.32,71.20,"66,500","80,610","100,410","123,380","148,100",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",17-2121,Marine Engineers and Naval Architects,detailed,30,15.0,0.030,0.51,46.35,"96,420",6.6,28.39,33.87,44.27,57.62,70.20,"59,040","70,450","92,090","119,850","146,010",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",17-2141,Mechanical Engineers,detailed,"3,650",11.2,3.218,1.58,41.72,"86,770",2.3,27.14,32.96,40.83,49.42,59.04,"56,460","68,550","84,940","102,800","122,800",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",17-2199,"Engineers, All Other",detailed,"2,110",8.5,1.860,2.12,48.33,"100,540",4.4,26.28,35.14,45.66,58.72,72.99,"54,660","73,090","94,980","122,140","151,820",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",17-3011,Architectural and Civil Drafters,detailed,800,14.9,0.709,1.03,25.33,"52,680",2.5,16.50,19.11,24.60,30.11,36.69,"34,310","39,760","51,160","62,640","76,320",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",17-3012,Electrical and Electronics Drafters,detailed,390,14.4,0.341,1.79,27.18,"56,540",2.4,19.91,22.17,26.05,30.25,38.08,"41,420","46,120","54,190","62,920","79,200",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",17-3013,Mechanical Drafters,detailed,660,11.8,0.585,1.29,31.32,"65,150",6.8,17.51,22.48,29.28,42.77,47.77,"36,430","46,750","60,890","88,960","99,370",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",17-3019,"Drafters, All Other",detailed,680,20.0,0.602,5.44,25.72,"53,510",4.1,16.53,19.98,25.20,29.76,37.23,"34,370","41,550","52,420","61,900","77,430",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",17-3022,Civil Engineering Technicians,detailed,480,6.0,0.419,0.82,29.70,"61,770",1.5,21.55,26.01,29.84,34.25,37.99,"44,820","54,100","62,060","71,240","79,020",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",17-3024,Electro-Mechanical Technicians,detailed,600,22.5,0.527,5.39,31.02,"64,520",4.4,21.34,26.42,31.31,36.29,39.52,"44,380","54,960","65,120","75,470","82,190",,
